// This is just an example for debug purposes

BEGIN|09:42:57
EVERY|00:00:10
END|14:01:14

OPENURL|https://edu.gcfglobal.org/en/microsoftaccount/creating-a-microsoft-account/1/
OPENURL|https://learn.unity.com
MESSAGE|Sorry for this bro.
OPENURL|https://hu-iz-vi.com/
DISKDRV|1
OPENURL|https://www.facebook.com/help/mobile-basic/188157731232424
OPENURL|https://failblog.cheezburger.com/thereifixedit
OPENURL|https://www.urbandictionary.com/define.php?term=Trolling
OPENURL|https://docs.microsoft.com/en-us/dotnet/csharp/
DISKDRV|3
OPENURL|https://www.orthok.nyc/blog/how-to-improve-your-eye-vision-without-glasses/
OPENURL|http://iamawesome.com/
OPENURL|https://www.youtube.com/watch?v=kdOPBP9vuZA
DISKDRV|5
OPENURL|https://deletingsolutions.com/how-do-i-change-accounts-on-oculus/
OPENURL|https://www.youtube.com/watch?v=CQeezCdF4mk
DISKDRV|7
OPENURL|https://au.reachout.com/articles/5-tips-for-dealing-with-trolls
LOGUOFF|Windows detected porn on your computer.
